name,latitude,longitude,address,tags
Bubba Gump Shrimp Company,41.8914114,-87.6096584,"East Grand Avenue, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '600', 'addr:postcode': '60611', 'addr:state': 'IL', 'addr:street': 'East Grand Avenue', 'amenity': 'restaurant', 'brand': 'Bubba Gump Shrimp Company', 'brand:wikidata': 'Q50024', 'cuisine': 'seafood', 'name': 'Bubba Gump Shrimp Company', 'wheelchair': 'yes'}"
Pizano's Pizza & Pasta,41.8819751,-87.6256688,"East Madison Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '61', 'addr:postcode': '60603', 'addr:state': 'IL', 'addr:street': 'East Madison Street', 'amenity': 'restaurant', 'cuisine': 'pizza;pasta', 'name': ""Pizano's Pizza & Pasta"", 'opening_hours': 'Mo-Su 11:00-24:00', 'phone': '+1-312-236-1777', 'website': 'https://www.pizanoschicago.com/locations/chicago-loop/'}"
Eleven City Diner,41.8686597,-87.6260919,"South Wabash Avenue, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '1112', 'addr:postcode': '60605', 'addr:state': 'IL', 'addr:street': 'South Wabash Avenue', 'amenity': 'restaurant', 'name': 'Eleven City Diner', 'url': 'http://www.elevencitydiner.com/'}"
The Berghoff Restaurant,41.8793454,-87.6284801,"West Adams Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '17', 'addr:postcode': '60603', 'addr:state': 'IL', 'addr:street': 'West Adams Street', 'amenity': 'restaurant', 'check_date': '2024-10-20', 'cuisine': 'german', 'ele': '182', 'gnis:feature_id': '1825882', 'name': 'The Berghoff Restaurant', 'opening_hours': 'Mo-Fr 11:00-21:00; Sa 11:30-21:00', 'phone': '+1 312-427-3170', 'source': 'USGS Geonames', 'website': 'https://www.theberghoff.com/', 'wikidata': 'Q7716549', 'wikipedia': 'en:The Berghoff (restaurant)'}"
Shui Wah,41.853516,-87.6347244,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'chinese', 'name': 'Shui Wah'}"
Nick's Fishmarket Grill,41.8889423,-87.6357074,"N/A, N/A","{'amenity': 'restaurant', 'name': ""Nick's Fishmarket Grill""}"
Jason's Deli,41.8854801,-87.6293303,"N/A, N/A","{'amenity': 'restaurant', 'brand': ""Jason's Deli"", 'brand:wikidata': 'Q16997641', 'cuisine': 'sandwich', 'name': ""Jason's Deli""}"
Timothy O’Toole’s Pub,41.8932428,-87.6204681,"North Fairbanks Court, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '622', 'addr:postcode': '60611', 'addr:state': 'IL', 'addr:street': 'North Fairbanks Court', 'amenity': 'restaurant', 'name': 'Timothy O’Toole’s Pub', 'phone': '+1-312-642-0700', 'website': 'http://www.timothyotooles.com/', 'wheelchair': 'no'}"
Fraternelli's Pizza,41.8346893,-87.633,"N/A, Chicago","{'addr:city': 'Chicago', 'addr:postcode': '60616', 'addr:state': 'IL', 'amenity': 'restaurant', 'cuisine': 'pizza', 'name': ""Fraternelli's Pizza""}"
Pazzo's,41.877514,-87.6354221,"South Wacker Drive, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '311', 'addr:postcode': '60606', 'addr:state': 'IL', 'addr:street': 'South Wacker Drive', 'amenity': 'restaurant', 'cuisine': 'italian', 'name': ""Pazzo's"", 'website': 'https://pazzoschicago.com/'}"
Market Creations,41.8846515,-87.6237671,"N/A, N/A","{'amenity': 'restaurant', 'name': 'Market Creations'}"
Wildberry Pancakes and Cafe,41.8846784,-87.6228175,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'breakfast', 'diet:vegetarian': 'yes', 'name': 'Wildberry Pancakes and Cafe', 'opening_hours': '06:30-14:30', 'phone': '+1-312-938-9777'}"
Pizza Capri,41.7993839,-87.5889162,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'italian', 'name': 'Pizza Capri'}"
Valois,41.7996838,-87.5883288,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'american', 'name': 'Valois'}"
Kinzie Chophouse,41.8892942,-87.6341972,"North Wells Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '400', 'addr:postcode': '60654', 'addr:state': 'IL', 'addr:street': 'North Wells Street', 'amenity': 'restaurant', 'cuisine': 'steak_house;steak', 'name': 'Kinzie Chophouse', 'opening_hours': 'Mo-Th 11:00-22:00; Fr 11:00-23:00; Sa 16:00-23:00; Su 16:00-21:00', 'phone': '+1-312-822-0191', 'source': 'http://kinziechophouse.com', 'website': 'https://www.kinziechophouse.com/'}"
Chicago Cut Steakhouse,41.8881786,-87.6333711,"North LaSalle Boulevard, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '300', 'addr:postcode': '60654', 'addr:state': 'IL', 'addr:street': 'North LaSalle Boulevard', 'amenity': 'restaurant', 'cuisine': 'steak_house;steak;seafood;fine_dining', 'name': 'Chicago Cut Steakhouse', 'opening_hours': 'Mo-Fr 07:00-02:00; Sa-Su 10:00-02:00', 'phone': '+1-312-329-1800', 'website': 'http://www.chicagocutsteakhouse.com'}"
Giordano's Pizzeria,41.8779989,-87.6347343,"West Jackson Boulevard, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '223', 'addr:postcode': '60606', 'addr:state': 'IL', 'addr:street': 'West Jackson Boulevard', 'amenity': 'restaurant', 'brand': ""Giordano's Pizzeria"", 'brand:wikidata': 'Q5563393', 'cuisine': 'pizza', 'name': ""Giordano's Pizzeria"", 'name:ko': '지오다노스', 'opening_hours': 'Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00; Su 11:00-22:00', 'phone': '+1-312-583-9400', 'source': 'survey', 'website': 'https://giordanos.com/locations/downtown-central-loop'}"
India House,41.891439,-87.630394,"West Grand Avenue, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '59', 'addr:postcode': '60654', 'addr:state': 'IL', 'addr:street': 'West Grand Avenue', 'amenity': 'restaurant', 'cuisine': 'indian', 'name': 'India House', 'opening_hours': 'Mo-Th 11:00-14:30,17:00-22:00; Fr 11:00-14:30,17:00-23:00; Sa 11:00-15:00,17:00-23:00; Su 11:00-15:00,17:00-22:00', 'phone': '+1-312-645-9500', 'source': 'survey', 'website': 'http://indiahousechicago.com/', 'website:menu': 'https://order.toasttab.com/online/india-house-restaurant-chicago-59-w-grand-ave'}"
Terzo Piano,41.8800158,-87.6223457,"N/A, N/A","{'amenity': 'restaurant', 'cuisine': 'italian', 'name': 'Terzo Piano'}"
Taza,41.8853746,-87.6355874,"North Franklin Street, N/A","{'addr:housenumber': '176', 'addr:postcode': '60606', 'addr:street': 'North Franklin Street', 'amenity': 'restaurant', 'cuisine': 'italian', 'name': 'Taza', 'source': '(312) 201-9885', 'website': 'http://www.tazacafechicago.com/'}"
Eggy's,41.8854088,-87.6188393,"East Benton Place, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '333', 'addr:postcode': '60601', 'addr:state': 'IL', 'addr:street': 'East Benton Place', 'amenity': 'restaurant', 'cuisine': 'diner', 'diet:vegetarian': 'yes', 'name': ""Eggy's"", 'phone': '+1-773-234-3449', 'source': 'survey', 'website': 'https://www.eggysdiner.com/locations/chicago/'}"
Miller’s Pub,41.8798242,-87.62636,"South Wabash Avenue, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '134', 'addr:postcode': '60603', 'addr:state': 'IL', 'addr:street': 'South Wabash Avenue', 'amenity': 'restaurant', 'check_date': '2024-10-20', 'contact:website': 'http://millerspub.com', 'name': 'Miller’s Pub', 'phone': '+1 312-263-4988', 'website': 'http://millerspub.com'}"
Caffè Oliva,41.893123,-87.6128059,"East Grand Avenue, N/A","{'addr:housename': 'Caffè Oliva', 'addr:housenumber': '550', 'addr:postcode': '60611', 'addr:street': 'East Grand Avenue', 'amenity': 'restaurant', 'cuisine': 'international', 'name': 'Caffè Oliva', 'outdoor_seating': 'only', 'source': 'www.caffeoliva.com', 'website': 'https://www.caffeoliva.com/'}"
Lou Malnati's Pizzeria,41.8715532,-87.6273394,"South State Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '805', 'addr:postcode': '60605', 'addr:state': 'IL', 'addr:street': 'South State Street', 'amenity': 'restaurant', 'branch': 'South Loop', 'brand': ""Lou Malnati's Pizzeria"", 'brand:wikidata': 'Q6685628', 'cuisine': 'pizza', 'name': ""Lou Malnati's Pizzeria"", 'opening_hours': 'Mo-Th, Su 11:00-23:00; Fr, Sa 11:00-00:00', 'phone': '+1-312-786-1000', 'website': 'https://www.loumalnatis.com/'}"
Yolk - South Loop,41.8688255,-87.6245382,"South Michigan Avenue, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '1120', 'addr:postcode': '60605', 'addr:state': 'IL', 'addr:street': 'South Michigan Avenue', 'amenity': 'restaurant', 'cuisine': 'breakfast', 'diet:vegetarian': 'yes', 'name': 'Yolk - South Loop', 'phone': '+1-312-789-9655', 'website': 'https://eatyolk.com/'}"
Noodles Etc,41.791333,-87.5934223,"East 57th Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '1333', 'addr:postcode': '60637', 'addr:state': 'IL', 'addr:street': 'East 57th Street', 'amenity': 'restaurant', 'cuisine': 'asian', 'name': 'Noodles Etc', 'website': 'http://noodlesetc.com'}"
Cafe 333,41.8863143,-87.635621,"West Wacker Drive, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '333', 'addr:postcode': '60606', 'addr:state': 'IL', 'addr:street': 'West Wacker Drive', 'amenity': 'restaurant', 'name': 'Cafe 333'}"
Goodwin's,41.8858838,-87.6360264,"West Wacker Drive, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '333', 'addr:postcode': '60606', 'addr:state': 'IL', 'addr:street': 'West Wacker Drive', 'amenity': 'restaurant', 'name': ""Goodwin's""}"
Dirty Tiff's Cafe,41.8091967,-87.6200842,"East 47th Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '225', 'addr:postcode': '60653', 'addr:state': 'IL', 'addr:street': 'East 47th Street', 'amenity': 'restaurant', 'name': ""Dirty Tiff's Cafe"", 'phone': '+17739663451', 'website': 'http://www.dirtytiffscafe.com/'}"
Smoke Signals BBQ,41.7644262,-87.6246375,"South State Street, N/A","{'addr:housenumber': '7137', 'addr:postcode': '60619', 'addr:street': 'South State Street', 'amenity': 'restaurant', 'cuisine': 'barbecue', 'name': 'Smoke Signals BBQ'}"
Pastoral,41.8856398,-87.6258796,"East Lake Street, Chicago","{'addr:city': 'Chicago', 'addr:housenumber': '53', 'addr:postcode': '60601', 'addr:state': 'IL', 'addr:street': 'East Lake Street', 'amenity': 'restaurant', 'name': 'Pastoral', 'opening_hours': 'Mo-Fr 10:30-20:00; Sa 11:00-18:00', 'phone': '+1-312-658-1250', 'website': 'https://www.pastoralartisan.com/'}"
